query,timestamp,instagramUrl,description,title,error
Pepperdine Kappa Kappa Gamma (Kappa/KKG),2025-08-10T01:23:14.983Z,https://www.instagram.com/pepperdinekkg/,"KAPPA KAPPA GAMMA Sorority & Fraternity Pepperdine University KKΓ Eta Beta ⚜️ Est. 1870 Dream boldly, live fully.",KAPPA KAPPA GAMMA (@pepperdinekkg),
,2025-08-10T01:23:15.119Z,,,,Empty line
Pepperdine Delta Gamma (DG),2025-08-10T01:23:24.048Z,https://www.instagram.com/pepperdinedg/,3K+ followers · 576 following · 807 posts · @pepperdinedg: “Pepperdine University Eta Alpha chapter DIVE IN & DO GOOD⭐️ register for recruitment below…”,pepperdinedg - Delta Gamma ΔΓ,
,2025-08-10T01:23:24.048Z,,,,Empty line
"Pepperdine Alpha Kappa Alpha Sorority, Inc. (AKA)",2025-08-10T01:23:25.890Z,https://www.instagram.com/taulambdaaka1908/,"Pepperdine AKAs. Sorority & Fraternity. The Tremendously Luxurious Ladies of the Tau Lambda chapter of Alpha Kappa Alpha Sorority, Inc. Est. November 20, 2011 ...",Pepperdine AKAs (@taulambdaaka1908),
,2025-08-10T01:23:26.010Z,,,,Empty line
"Pepperdine Alpha Phi Alpha Fraternity, Inc. (Alphas)",2025-08-10T01:23:30.033Z,https://www.instagram.com/upchialpha/,"The Brothers of the Upsilon Chi chapter of Alpha Phi Alpha Fraternity Inc., welcome everyone back to Pepperdine University for the 2022-2023 academic school ...",Pepperdine Alphas (@upchialpha),
,2025-08-10T01:23:30.034Z,,,,Empty line
"Pepperdine Lambda Theta Nu Sorority, Inc.",2025-08-10T01:23:33.749Z,https://www.instagram.com/pepperdinelambdas/,"Two Years Ago Today, the Alpha Psi Chapter of Lambda Theta Nu Sorority, Inc. was established on Pepperdine University. Happy Lambdaversary to the founding ...",Alpha Psi Chapter (@pepperdinelambdas),
,2025-08-10T01:23:33.750Z,,,,Empty line
Pepperdine Armenian Student's Association,2025-08-10T01:23:39.157Z,https://www.instagram.com/pepperdineasa/,1.2K+ followers · 656 following · 318 posts · @pepperdineasa: “❤️ Բարեւ Սիրելի Աշակերտներ❤️ The Armenian Student Association of Pepperdine University ”,Pepperdine ASA (@pepperdineasa),
,2025-08-10T01:23:39.264Z,,,,Empty line
Pepperdine Cultural Italian American Organization (CIAO),2025-08-10T01:23:41.185Z,https://www.instagram.com/ciaoclubpepp/,"Join us Monday at the HAWC 200 for Italian Game Night! Enjoy board games, Kahoot, a costume contest, Prince Street Pizza, & more! No prior Italian ...",C.I.A.O. Club Pepperdine (@ciaoclubpepp),
,2025-08-10T01:23:41.185Z,,,,Empty line
Pepperdine Indigenous People's Club,2025-08-10T01:23:43.677Z,https://www.instagram.com/pepperdineipc/,pepperdineipc. Indigenous Peoples' Club. ➳ est. 2020 ➳ an on-campus organization dedicated to celebrating indigenous peoples and indigenous cultures,Indigenous Peoples' Club (@pepperdineipc),
,2025-08-10T01:23:43.678Z,,,,Empty line
Pepperdine Latinx/o/a/e Student Alliance,2025-08-10T01:23:46.208Z,https://www.instagram.com/pepperdine_icc/,"Hi everyone! Our new club applications for Spring 2025 are live on Peppervine and can be found in the link in our bio. The form is due on Monday, ...",Inter-Club Council (@pepperdine_icc),
,2025-08-10T01:23:46.208Z,,,,Empty line
Pepperdine Nikkei Student Union,2025-08-10T01:23:51.226Z,https://www.instagram.com/pepp_nsu/,"Nikkei Student Union at Pepperdine University. 24255 Pacific Coast Hwy, Malibu, California 90263. groupme.com/join_group/98646611/QJftwihA",Pepperdine Nikkei Student Union (@pepp_nsu),
,2025-08-10T01:23:51.358Z,,,,Empty line
Pepperdine Pilipino American Student Association,2025-08-10T01:23:54.937Z,https://www.instagram.com/pepperdine_pakikisama/,421 followers · 260 following · 214 posts · @pepperdine_pakikisama: “pilipino american student association pepperdine university”,Pepperdine Pakikisama (@pepperdine_pakikisama),
,2025-08-10T01:23:54.938Z,,,,Empty line
Pepperdine Step Team,2025-08-10T01:23:57.902Z,https://www.instagram.com/peppstepteam/,"We rep unity in pepp, sweat, and step. Back again like we never left…. @pepperdinewaves · docs.google.com/forms/ ...",Pepperdine Step Team (@peppstepteam),
,2025-08-10T01:23:57.903Z,,,,Empty line
Pepperdine Tennis Club,2025-08-10T01:24:02.995Z,https://www.instagram.com/peppclubtennis/,"Support the Pepperdine Club Tennis team this weekend at our annual Invitational where we'll be hosting USC, Arizona St., CSU Long Beach and USD!",Pepperdine Club Tennis (@peppclubtennis),
,2025-08-10T01:24:03.129Z,,,,Empty line
Pepperdine Surfing Club,2025-08-10T01:24:05.613Z,https://www.instagram.com/pepperdinesurfteam/,Competing across the coast of California! Follow us on our journey! 2X NSSA Women's National Champions Current Rank: 4th.,Pepperdine Surf Team (@pepperdinesurfteam),
,2025-08-10T01:24:05.613Z,,,,Empty line
Pepperdine Beach Volleyball Club,2025-08-10T01:24:12.052Z,https://www.instagram.com/pepperdineclubbeachvolley/,Home to Pepperdine Club Beach Volleyball When: Wednesday and Friday 2pm-4pm. Where: Beach Courts located across Mail Services ... Photo shared by Pepperdine Rec ...,Pepperdine Club Beach Volleyball ...,
,2025-08-10T01:24:12.052Z,,,,Empty line
Pepperdine Esports Club,2025-08-10T01:24:14.632Z,https://www.instagram.com/pepperdinegamingclub/,Pepperdine Gaming Club. Meetings every Thursday @ 6pm. Genesis Lab | Payson Library. Join our Discord.,Pepperdine Gaming Club (@pepperdinegamingclub),
,2025-08-10T01:24:14.752Z,,,,Empty line
Pepperdine Running Club,2025-08-10T01:24:18.380Z,https://www.instagram.com/pepperdinerunning/,We are always running for the thrill of it! Open to all skill levels! Check our posts for the schedule!,Pepperdine Running Club (@pepperdinerunning),
,2025-08-10T01:24:18.381Z,,,,Empty line
Pepperdine Surf and Recreation,2025-08-10T01:24:21.414Z,https://www.instagram.com/pepperdinesurfteam/,Competing across the coast of California! Follow us on our journey! 2X NSSA Women's National Champions Current Rank: 4th,Pepperdine Surf Team (@pepperdinesurfteam),
,2025-08-10T01:24:21.414Z,,,,Empty line
Pepperdine Climbing Club,2025-08-10T01:24:27.608Z,https://www.instagram.com/climb.pepp/,,Pepperdine Climbing🧗♂️ (@climb.pepp),
,2025-08-10T01:24:27.738Z,,,,Empty line
Pepperdine Pickleball Club,2025-08-10T01:24:31.284Z,https://www.instagram.com/pepperdinepickleball/,"In partnership with SGA, The Board and the Pickleball Club, we are proud to announce the Pepperdine Strong Fundraiser Pickleball Tournament happening on ...",Pepperdine Pickleball Club (@pepperdinepickleball),
,2025-08-10T01:24:31.285Z,,,,Empty line
Pepperdine Art Club,2025-08-10T01:24:34.250Z,https://www.instagram.com/pepperdine_artclub/,,Pepperdine Art Club (@pepperdine_artclub),
,2025-08-10T01:24:34.251Z,,,,Empty line
Pepperdine Cine Club,2025-08-10T01:24:37.312Z,https://www.instagram.com/peppcineclub/,"Thank you to everyone who came to the screening of “Out of My Mind,” a film that celebrates disability acceptance! It was such an amazing time watching it ...",Pepperdine Ciné Club (@peppcineclub),
,2025-08-10T01:24:37.312Z,,,,Empty line
Pepperdine Creative Connection,2025-08-10T01:24:39.545Z,https://www.instagram.com/creativeconnectionpepp/,Join us for our first meeting of the spring semester! We will be hosting a Q&A with the selected filmmakers of Pepperdine's ReelStories Film Festival to learn ...,Creative Connection (@creativeconnectionpepp),
,2025-08-10T01:24:39.675Z,,,,Empty line
Pepperdine Fashion Association,2025-08-10T01:24:42.149Z,https://www.instagram.com/pepperdinefashion/,A concept we developed to explore fantasy and creativity on campus. Crafted by our PFA eboard with the hope to make this a continuing project.,Pepperdine Fashion Association (@pepperdinefashion),
,2025-08-10T01:24:42.149Z,,,,Empty line
Pepperdine KWVS Radio,2025-08-10T01:24:44.892Z,https://www.instagram.com/kwvsradio/,,KWVS Radio (@kwvsradio),
,2025-08-10T01:24:44.892Z,,,,Empty line
Pepperdine Graphic Media,2025-08-10T01:24:47.845Z,https://www.instagram.com/peppgraphic/,"3.7K+ followers · 154 following · 3739 posts · @peppgraphic: “Student-run newspaper covering Pepperdine, Malibu and the surrounding communities since 1938.",Pepperdine Graphic (@peppgraphic),
,2025-08-10T01:24:47.845Z,,,,Empty line
Pepperdine Musical Theatre Club: Eta Theta Tau,2025-08-10T01:24:50.026Z,https://www.instagram.com/etathetatau/,Pepperdine Musical Theatre Club's Kickoff event will be on Jan 30 from 7-9 pm at Elkins! There will be free food and drink provided.,HΘT (@etathetatau) • Instagram photos and videos,
,2025-08-10T01:24:50.170Z,,,,Empty line
Pepperdine RnD Dance,2025-08-10T01:24:53.106Z,https://www.instagram.com/rnd.dance/,Join RnD tonight for a beginner hip hop community class taught by Sophia Lee! 8pm in the HITS Studio- We can't wait to see you there! Photo by Pepperdine Rise n ...,Pepperdine Rise n Dance (@rnd.dance),
,2025-08-10T01:24:53.106Z,,,,Empty line
Pepperdine Best Buddies,2025-08-10T01:24:55.695Z,https://www.instagram.com/bestbuddies_pepperdine/,Helping to promote an inclusive and equal environment for individuals with intellectual and developmental disabilities one friend at a time!,(@bestbuddies_pepperdine) • Instagram photos and videos,
,2025-08-10T01:24:55.696Z,,,,Empty line
Pepperdine Children for a Cause,2025-08-10T01:24:58.366Z,https://www.instagram.com/peppstudentactivities/,Now it's your turn! We're looking for enthusiastic students to serve as Orientation Leaders (OLs) and welcome our newest Waves this fall! PERKS: Free shirts ...,Pepperdine Student Activities (@peppstudentactivities),
,2025-08-10T01:24:58.366Z,,,,Empty line
Pepperdine Circle K,2025-08-10T01:25:01.222Z,https://www.instagram.com/ckipepperdine/,Members of the world's largest student-led collegiate service organization. Follow us to learn more information on service events and our meetings!,Pepperdine Circle K (@ckipepperdine),
,2025-08-10T01:25:01.364Z,,,,Empty line
Pepperdine Climate Observer Program,2025-08-10T01:25:03.866Z,https://www.instagram.com/usipeace/,"USIP is a peacebuilding organization founded by Congress as an independent nonprofit dedicated to preventing, mitigating & resolving conflict abroad.","U.S. Institute of Peace (@usipeace) · Washington D.C., DC",
,2025-08-10T01:25:03.866Z,,,,Empty line
Pepperdine Community and Global Health Club,2025-08-10T01:25:06.876Z,https://www.instagram.com/pepperdineambassadors/,"From welcoming guests to building relationships with alumni and friends of the university, PAC's mission is to embody the spirit of Pepperdine and its values.",Pepperdine Ambassadors Council - Instagram,
,2025-08-10T01:25:06.876Z,,,,Empty line
Pepperdine Days for Girls,2025-08-10T01:25:09.360Z,https://www.instagram.com/pepperdinedfg/,"Nonprofit organization turning periods into pathways, working to educate about menstrual health and making washable pads for girls around the world.",Pepperdine Days for Girls (@pepperdinedfg),
,2025-08-10T01:25:09.361Z,,,,Empty line
Pepperdine Food Recovery Network,2025-08-10T01:25:13.063Z,https://www.instagram.com/wavesfrn/,"Fight waste, feed people! 📍Food Recovery Network Pepperdine 📩pepperdineFRN@gmail.com 📦To request a food Recovery, please click below: linktr.ee/wavesfrn",Pepperdine University FRN (@wavesfrn),
,2025-08-10T01:25:13.237Z,,,,Empty line
Pepperdine Global Justice,2025-08-10T01:25:18.675Z,https://www.instagram.com/globaljusticeinstitute/,"Rule of Law Human Rights Organization fighting to make #AccesstoJustice a reality for all people, everywhere. —————— @pepperdine @pepperdinelaw.",Sudreau Global Justice Inst. (@globaljusticeinstitute),
,2025-08-10T01:25:18.676Z,,,,Empty line
Pepperdine Catholic Student Association,2025-08-10T01:25:21.731Z,https://www.instagram.com/pepperdinecsa/,We represent Pepperdine's largest Christian denomination on campus by enriching the faith journeys of all students through the Catholic faith!,Catholic Student Association (@pepperdinecsa),
,2025-08-10T01:25:21.731Z,,,,Empty line
Pepperdine Student-Led Ministries,2025-08-10T01:25:24.391Z,https://www.instagram.com/pepperdineveritas/,Join us for a virtual worship concert led by Pepperdine students and alumni. The concert reflects student ministry leaders working together despite the ...,Pepperdine Veritas Club (@pepperdineveritas),
,2025-08-10T01:25:24.558Z,,,,Empty line
Pepperdine Student Government Association (SGA),2025-08-10T01:25:26.513Z,https://www.instagram.com/pepperdinesga/,1.9K+ followers · 117 following · 182 posts · @pepperdinesga: “Uplifting student life at Pepperdine since 1937”,Pepperdine SGA (@pepperdinesga),
,2025-08-10T01:25:26.514Z,,,,Empty line
Pepperdine Ambassadors Council,2025-08-10T01:25:29.410Z,https://www.instagram.com/pepperdineambassadors/,"A group of students dedicated to representing the heart of Pepperdine through service, leadership, and connection.",Pepperdine Ambassadors Council - Instagram,
,2025-08-10T01:25:29.410Z,,,,Empty line
Pepperdine Chartwell Forum for Civil Discourse,2025-08-10T01:25:31.399Z,,,,No result found
,2025-08-10T01:25:31.399Z,,,,Empty line
Pepperdine Founders Inc.,2025-08-10T01:25:34.009Z,https://www.instagram.com/founders_inc_pepperdine/,"A community of entrepreneurs in Malibu, CA EVENT LINK ⬇️. pepperdine.campuslabs.com/engage/organization/foundersclub.",Founders' Inc. (@founders_inc_pepperdine),
,2025-08-10T01:25:34.009Z,,,,Empty line
Pepperdine Nourish,2025-08-10T01:25:36.713Z,https://www.instagram.com/pepperdinenourish/,mindful eating | nutrition education | service ☀️body positivity/neutrality | healthy habits. Join our health & nutrition club ⤵️. linktr.ee/nourish.pepp.,Nourish Club | est. 2019 (@pepperdinenourish),
,2025-08-10T01:25:36.874Z,,,,Empty line
Pepperdine College Democrats,2025-08-10T01:25:39.461Z,https://www.instagram.com/pepperdinedems/,"Pepperdine College Democrats Change That Matters. 24255 Pacific Coast Hwy, Malibu, California 90263",Pepperdine College Democrats (@pepperdinedems),
,2025-08-10T01:25:39.461Z,,,,Empty line
Pepperdine College Republicans,2025-08-10T01:25:43.616Z,https://www.instagram.com/pepperdinecollegerepublicans/,1K+ followers · 142 following · 15 posts · @pepperdinecollegerepublicans: “Official Instagram for the Pepperdine College Republicans.”,Pepperdine College Republicans,
,2025-08-10T01:25:43.616Z,,,,Empty line
Pepperdine Consulting Association,2025-08-10T01:25:46.152Z,https://www.instagram.com/pepperdineconsulting/,Consulting agency serving as a trusted internship pipeline to global Fortune 500 Consulting & Banking firms.,pepperdineconsulting - Instagram,
,2025-08-10T01:25:46.152Z,,,,Empty line
Pepperdine Gaming Club,2025-08-10T01:25:49.945Z,https://www.instagram.com/pepperdinegamingclub/,Pepperdine Gaming Club. Meetings every Thursday @ 6pm. Genesis Lab | Payson Library. Join our Discord.,Pepperdine Gaming Club (@pepperdinegamingclub),
,2025-08-10T01:25:50.110Z,,,,Empty line
Pepperdine Real Estate Club,2025-08-10T01:25:52.899Z,https://www.instagram.com/pepperdinerealestateclub/,The Pepperdine University Real Estate Club will serve the Pepperdine community as a space for students interested in the world of real estate ... Photo by ...,Pepperdine University Real Estate Club ...,
,2025-08-10T01:25:52.899Z,,,,Empty line
The Pepperdine Beacon,2025-08-10T01:25:55.736Z,https://www.instagram.com/pepperdinebeacon/,"With plans for 800 + parking spots, a rec center, and a new cafe-style dining space, this project could redefine campus life at Pepperdine, Is this the change ...",The Pepperdine Beacon (@pepperdinebeacon),
